clusters,Plot_Number,names,order
1,1,Oak Hickory,2
1,2,Oak Hickory,2
3,3,White Oak,1
4,4,Mixed,8
5,5,Tulip Poplar,3
6,6,Virginia Pine,6
7,7,Loblolly Pine,7
1,8,Oak Hickory,2
1,9,Oak Hickory,2
5,10,Tulip Poplar,3
4,11,Mixed,8
5,12,Tulip Poplar,3
6,13,Virginia Pine,6
1,14,Oak Hickory,2
5,15,Tulip Poplar,3
7,16,Loblolly Pine,7
5,17,Tulip Poplar,3
5,18,Tulip Poplar,3
5,19,Tulip Poplar,3
5,20,Tulip Poplar,3
21,21,Sweetgum,4
21,22,Sweetgum,4
7,23,Loblolly Pine,7
7,24,Loblolly Pine,7
21,25,Sweetgum,4
7,26,Loblolly Pine,7
7,27,Loblolly Pine,7
3,28,White Oak,1
29,29,White Ash,5
5,30,Tulip Poplar,3
3,31,White Oak,1
1,32,Oak Hickory,2
1,33,Oak Hickory,2
1,34,Oak Hickory,2
1,35,Oak Hickory,2
5,36,Tulip Poplar,3
5,37,Tulip Poplar,3
5,38,Tulip Poplar,3
29,39,White Ash,5
29,40,White Ash,5
5,41,Tulip Poplar,3
29,42,White Ash,5
6,43,Virginia Pine,6
3,44,White Oak,1
5,45,Tulip Poplar,3
21,46,Sweetgum,4
3,47,White Oak,1
1,48,Oak Hickory,2
3,49,White Oak,1
5,50,Tulip Poplar,3
5,51,Tulip Poplar,3
4,52,Mixed,8
5,53,Tulip Poplar,3
4,54,Mixed,8
1,55,Oak Hickory,2
3,56,White Oak,1
6,57,Virginia Pine,6
5,58,Tulip Poplar,3
1,59,Oak Hickory,2
5,60,Tulip Poplar,3
1,61,Oak Hickory,2
1,62,Oak Hickory,2
21,63,Sweetgum,4
5,64,Tulip Poplar,3
7,65,Loblolly Pine,7
3,66,White Oak,1
1,67,Oak Hickory,2
7,68,Loblolly Pine,7
7,69,Loblolly Pine,7
7,70,Loblolly Pine,7
3,71,White Oak,1
5,72,Tulip Poplar,3
21,73,Sweetgum,4
3,74,White Oak,1
1,75,Oak Hickory,2
1,76,Oak Hickory,2
1,77,Oak Hickory,2
5,78,Tulip Poplar,3
4,79,Mixed,8
5,80,Tulip Poplar,3
5,81,Tulip Poplar,3
4,82,Mixed,8
5,83,Tulip Poplar,3
5,84,Tulip Poplar,3
1,85,Oak Hickory,2
5,86,Tulip Poplar,3
1,87,Oak Hickory,2
