"Park","Park_Code","State_MMI","Stream_Name","Loc_Name","year","Microhabitat","variable","value"
"Appomattox Courthouse NHP","APCO","VSCI","Appomattox River","APCO_01","2009","BOC","EPT Family Richness",2
"Appomattox Courthouse NHP","APCO","VSCI","Appomattox River","APCO_01","2009","LP","EPT Family Richness",8
"Appomattox Courthouse NHP","APCO","VSCI","Appomattox River","APCO_01","2009","M","EPT Family Richness",4
"Appomattox Courthouse NHP","APCO","VSCI","Appomattox River","APCO_01","2009","RIF","EPT Family Richness",9
"Appomattox Courthouse NHP","APCO","VSCI","Appomattox River","APCO_01","2009","RMUB","EPT Family Richness",10
"Appomattox Courthouse NHP","APCO","VSCI","Appomattox River","APCO_01","2009","SS","EPT Family Richness",0
"Appomattox Courthouse NHP","APCO","VSCI","Appomattox River","APCO_01","2010","LOG","EPT Family Richness",6
"Appomattox Courthouse NHP","APCO","VSCI","Appomattox River","APCO_01","2010","LP","EPT Family Richness",9
"Appomattox Courthouse NHP","APCO","VSCI","Appomattox River","APCO_01","2010","RIF","EPT Family Richness",10
"Appomattox Courthouse NHP","APCO","VSCI","Appomattox River","APCO_01","2010","RMUB","EPT Family Richness",12
"Appomattox Courthouse NHP","APCO","VSCI","Plain Run","APCO_02","2009","LOG","EPT Family Richness",6
"Appomattox Courthouse NHP","APCO","VSCI","Plain Run","APCO_02","2009","LP","EPT Family Richness",6
"Appomattox Courthouse NHP","APCO","VSCI","Plain Run","APCO_02","2009","RIF","EPT Family Richness",12
"Appomattox Courthouse NHP","APCO","VSCI","Plain Run","APCO_02","2009","RMUB","EPT Family Richness",7
"Appomattox Courthouse NHP","APCO","VSCI","Plain Run","APCO_02","2009","SS","EPT Family Richness",2
"Appomattox Courthouse NHP","APCO","VSCI","Plain Run","APCO_02","2010","LOG","EPT Family Richness",5
"Appomattox Courthouse NHP","APCO","VSCI","Plain Run","APCO_02","2010","LP","EPT Family Richness",8
"Appomattox Courthouse NHP","APCO","VSCI","Plain Run","APCO_02","2010","RIF","EPT Family Richness",12
"Appomattox Courthouse NHP","APCO","VSCI","Plain Run","APCO_02","2010","RMUB","EPT Family Richness",9
"Appomattox Courthouse NHP","APCO","VSCI","Plain Run","APCO_02","2011","LOG","EPT Family Richness",4
"Appomattox Courthouse NHP","APCO","VSCI","Plain Run","APCO_02","2011","LP","EPT Family Richness",9
"Appomattox Courthouse NHP","APCO","VSCI","Plain Run","APCO_02","2011","RIF","EPT Family Richness",12
"Appomattox Courthouse NHP","APCO","VSCI","Plain Run","APCO_02","2011","RMUB","EPT Family Richness",10
"Appomattox Courthouse NHP","APCO","VSCI","Plain Run","APCO_02","2012","LOG","EPT Family Richness",6
"Appomattox Courthouse NHP","APCO","VSCI","Plain Run","APCO_02","2012","LP","EPT Family Richness",3
"Appomattox Courthouse NHP","APCO","VSCI","Plain Run","APCO_02","2012","RIF","EPT Family Richness",8
"Appomattox Courthouse NHP","APCO","VSCI","Plain Run","APCO_02","2012","RMUB","EPT Family Richness",7
"Appomattox Courthouse NHP","APCO","VSCI","Plain Run","APCO_02","2013","LOG","EPT Family Richness",6
"Appomattox Courthouse NHP","APCO","VSCI","Plain Run","APCO_02","2013","LP","EPT Family Richness",5
"Appomattox Courthouse NHP","APCO","VSCI","Plain Run","APCO_02","2013","RIF","EPT Family Richness",10
"Appomattox Courthouse NHP","APCO","VSCI","Plain Run","APCO_02","2013","RMUB","EPT Family Richness",6
"Appomattox Courthouse NHP","APCO","VSCI","Plain Run","APCO_02","2014","LOG","EPT Family Richness",5
"Appomattox Courthouse NHP","APCO","VSCI","Plain Run","APCO_02","2014","LP","EPT Family Richness",9
"Appomattox Courthouse NHP","APCO","VSCI","Plain Run","APCO_02","2014","RIF","EPT Family Richness",9
"Appomattox Courthouse NHP","APCO","VSCI","Plain Run","APCO_02","2014","RMUB","EPT Family Richness",4
"Booker T. Washington","BOWA","VSCI","Jack-O-Lantern Branch","BOWA_02","2009","BOC","EPT Family Richness",1
"Booker T. Washington","BOWA","VSCI","Jack-O-Lantern Branch","BOWA_02","2009","LP","EPT Family Richness",5
"Booker T. Washington","BOWA","VSCI","Jack-O-Lantern Branch","BOWA_02","2009","RIF","EPT Family Richness",13
"Booker T. Washington","BOWA","VSCI","Jack-O-Lantern Branch","BOWA_02","2009","RMUB","EPT Family Richness",2
"Booker T. Washington","BOWA","VSCI","Jack-O-Lantern Branch","BOWA_02","2009","SS","EPT Family Richness",0
"Booker T. Washington","BOWA","VSCI","Jack-O-Lantern Branch","BOWA_02","2010","LOG","EPT Family Richness",3
"Booker T. Washington","BOWA","VSCI","Jack-O-Lantern Branch","BOWA_02","2010","LP","EPT Family Richness",3
"Booker T. Washington","BOWA","VSCI","Jack-O-Lantern Branch","BOWA_02","2010","RIF","EPT Family Richness",4
"Booker T. Washington","BOWA","VSCI","Jack-O-Lantern Branch","BOWA_02","2010","RMUB","EPT Family Richness",7
"Booker T. Washington","BOWA","VSCI","Jack-O-Lantern Branch","BOWA_02","2011","LOG","EPT Family Richness",2
"Booker T. Washington","BOWA","VSCI","Jack-O-Lantern Branch","BOWA_02","2011","LP","EPT Family Richness",2
"Booker T. Washington","BOWA","VSCI","Jack-O-Lantern Branch","BOWA_02","2011","RIF","EPT Family Richness",3
"Booker T. Washington","BOWA","VSCI","Jack-O-Lantern Branch","BOWA_02","2011","RMUB","EPT Family Richness",3
"Booker T. Washington","BOWA","VSCI","Jack-O-Lantern Branch","BOWA_02","2012","LOG","EPT Family Richness",3
"Booker T. Washington","BOWA","VSCI","Jack-O-Lantern Branch","BOWA_02","2012","LP","EPT Family Richness",5
"Booker T. Washington","BOWA","VSCI","Jack-O-Lantern Branch","BOWA_02","2012","RIF","EPT Family Richness",7
"Booker T. Washington","BOWA","VSCI","Jack-O-Lantern Branch","BOWA_02","2012","RMUB","EPT Family Richness",5
"Booker T. Washington","BOWA","VSCI","Jack-O-Lantern Branch","BOWA_02","2013","LOG","EPT Family Richness",1
"Booker T. Washington","BOWA","VSCI","Jack-O-Lantern Branch","BOWA_02","2013","LP","EPT Family Richness",3
"Booker T. Washington","BOWA","VSCI","Jack-O-Lantern Branch","BOWA_02","2013","RIF","EPT Family Richness",5
"Booker T. Washington","BOWA","VSCI","Jack-O-Lantern Branch","BOWA_02","2013","RMUB","EPT Family Richness",3
"Booker T. Washington","BOWA","VSCI","Jack-O-Lantern Branch","BOWA_02","2014","LP","EPT Family Richness",1
