Loc_Name,Park,Park_Code,State_MMI,Stream_Name,Gradient,Ecoregion,Unit_Code,State_MMI.1,Stream_Gradient,variable,mean,se,N
APCO_01,Appomattox Courthouse NHP,APCO,VSCI,Appomattox River,High gradient,Piedmont,APCO,VSCI,High,Epifaunal Substrate,17,0,2
APCO_01,Appomattox Courthouse NHP,APCO,VSCI,Appomattox River,High gradient,Piedmont,APCO,VSCI,High,Embeddedness,9,1,2
APCO_01,Appomattox Courthouse NHP,APCO,VSCI,Appomattox River,High gradient,Piedmont,APCO,VSCI,High,Velocity Depth Regime,16.5,0.5,2
APCO_01,Appomattox Courthouse NHP,APCO,VSCI,Appomattox River,High gradient,Piedmont,APCO,VSCI,High,Sediment Deposition,8.5,1.5,2
APCO_01,Appomattox Courthouse NHP,APCO,VSCI,Appomattox River,High gradient,Piedmont,APCO,VSCI,High,Channel Flow Status,15,0,2
APCO_01,Appomattox Courthouse NHP,APCO,VSCI,Appomattox River,High gradient,Piedmont,APCO,VSCI,High,Channel Alteration,16,0,2
APCO_01,Appomattox Courthouse NHP,APCO,VSCI,Appomattox River,High gradient,Piedmont,APCO,VSCI,High,Riffle frequency,11.5,0.5,2
APCO_01,Appomattox Courthouse NHP,APCO,VSCI,Appomattox River,High gradient,Piedmont,APCO,VSCI,High,Vegetation,14,1,2
APCO_01,Appomattox Courthouse NHP,APCO,VSCI,Appomattox River,High gradient,Piedmont,APCO,VSCI,High,Bank Stability,13.5,2.5,2
APCO_01,Appomattox Courthouse NHP,APCO,VSCI,Appomattox River,High gradient,Piedmont,APCO,VSCI,High,Riparian Veg Zone,17.5,0.5,2
APCO_01,Appomattox Courthouse NHP,APCO,VSCI,Appomattox River,High gradient,Piedmont,APCO,VSCI,High,Total Score,138.5,6.5,2
APCO_02,Appomattox Courthouse NHP,APCO,VSCI,Plain Run,High gradient,Piedmont,APCO,VSCI,High,Epifaunal Substrate,18.16666667,0.401386486,6
APCO_02,Appomattox Courthouse NHP,APCO,VSCI,Plain Run,High gradient,Piedmont,APCO,VSCI,High,Embeddedness,16.16666667,0.703167437,6
APCO_02,Appomattox Courthouse NHP,APCO,VSCI,Plain Run,High gradient,Piedmont,APCO,VSCI,High,Velocity Depth Regime,13.83333333,0.307318149,6
APCO_02,Appomattox Courthouse NHP,APCO,VSCI,Plain Run,High gradient,Piedmont,APCO,VSCI,High,Sediment Deposition,17.33333333,0.666666667,6
APCO_02,Appomattox Courthouse NHP,APCO,VSCI,Plain Run,High gradient,Piedmont,APCO,VSCI,High,Channel Flow Status,18.5,0.562731434,6
APCO_02,Appomattox Courthouse NHP,APCO,VSCI,Plain Run,High gradient,Piedmont,APCO,VSCI,High,Channel Alteration,20,0,6
APCO_02,Appomattox Courthouse NHP,APCO,VSCI,Plain Run,High gradient,Piedmont,APCO,VSCI,High,Riffle frequency,18.5,0.428174419,6
APCO_02,Appomattox Courthouse NHP,APCO,VSCI,Plain Run,High gradient,Piedmont,APCO,VSCI,High,Vegetation,18.66666667,0.421637021,6
APCO_02,Appomattox Courthouse NHP,APCO,VSCI,Plain Run,High gradient,Piedmont,APCO,VSCI,High,Bank Stability,18.5,0.341565026,6
APCO_02,Appomattox Courthouse NHP,APCO,VSCI,Plain Run,High gradient,Piedmont,APCO,VSCI,High,Riparian Veg Zone,20,0,6
APCO_02,Appomattox Courthouse NHP,APCO,VSCI,Plain Run,High gradient,Piedmont,APCO,VSCI,High,Total Score,179.6666667,3.105550586,6
BOWA_02,Booker T. Washington,BOWA,VSCI,Jack-O-Lantern Branch,High gradient,Piedmont,BOWA,VSCI,High,Epifaunal Substrate,15,0.632455532,6
BOWA_02,Booker T. Washington,BOWA,VSCI,Jack-O-Lantern Branch,High gradient,Piedmont,BOWA,VSCI,High,Embeddedness,10.33333333,1.960725489,6
BOWA_02,Booker T. Washington,BOWA,VSCI,Jack-O-Lantern Branch,High gradient,Piedmont,BOWA,VSCI,High,Velocity Depth Regime,12,0.966091783,6
BOWA_02,Booker T. Washington,BOWA,VSCI,Jack-O-Lantern Branch,High gradient,Piedmont,BOWA,VSCI,High,Sediment Deposition,8.5,0.921954446,6
BOWA_02,Booker T. Washington,BOWA,VSCI,Jack-O-Lantern Branch,High gradient,Piedmont,BOWA,VSCI,High,Channel Flow Status,14.16666667,0.792324288,6
BOWA_02,Booker T. Washington,BOWA,VSCI,Jack-O-Lantern Branch,High gradient,Piedmont,BOWA,VSCI,High,Channel Alteration,18.66666667,0.557773351,6
BOWA_02,Booker T. Washington,BOWA,VSCI,Jack-O-Lantern Branch,High gradient,Piedmont,BOWA,VSCI,High,Riffle frequency,15.83333333,1.108051343,6
